Metric,ARM_M2_Pro,x86_RTX4090,Speedup
Latency_Min_s,2.95,0.86,
Latency_p25_s,9.18,2.02,
Latency_Median_s,10.60,2.30,4.62
Latency_p75_s,12.19,2.60,
Latency_p95_s,14.59,2.98,4.90
Latency_p99_s,17.35,3.25,5.34
Latency_Max_s,21.60,3.90,
Latency_Mean_s,10.78,2.31,4.68
Latency_StdDev_s,2.38,0.42,
CPU_Peak_Percent,862.8,111.1,
CPU_Average_Percent,759.9,76.1,
CPU_P_Cores_Avg_Percent,7.67,0.04,
CPU_E_Cores_Avg_Percent,0.08,0.01,
CPU_P_Cores_Workload_Pct,99.0,82.7,
CPU_E_Cores_Workload_Pct,1.0,17.3,
Memory_Peak_GB,8.02,2.02,
Cores_Used_Avg,7.6,0.8,
