Metric,ARM_M2_Pro,x86_RTX4090,Speedup
Latency_Min_s,5.66,1.06,
Latency_p25_s,10.28,2.03,
Latency_Median_s,12.03,2.32,5.19
Latency_p75_s,14.14,2.62,
Latency_p95_s,17.84,3.02,5.90
Latency_p99_s,22.80,3.27,6.97
Latency_Max_s,23.52,5.30,
Latency_Mean_s,12.39,2.34,5.30
Latency_StdDev_s,3.20,0.51,
CPU_Peak_Percent,924.0,113.9,
CPU_Average_Percent,779.5,77.1,
CPU_P_Cores_Avg_Percent,8.38,0.06,
CPU_E_Cores_Avg_Percent,3.63,0.02,
CPU_P_Cores_Workload_Pct,69.8,76.4,
CPU_E_Cores_Workload_Pct,30.2,23.6,
Memory_Peak_GB,7.77,1.89,
Cores_Used_Avg,7.8,0.8,
