Metric,ARM_M2_Pro,x86_RTX4090,Speedup
Latency_Min_s,4.89,0.80,
Latency_p25_s,8.82,1.88,
Latency_Median_s,9.95,2.14,4.65
Latency_p75_s,11.09,2.37,
Latency_p95_s,13.60,2.85,4.77
Latency_p99_s,14.91,3.01,4.96
Latency_Max_s,17.60,3.08,
Latency_Mean_s,10.01,2.15,4.66
Latency_StdDev_s,2.01,0.39,
CPU_Peak_Percent,866.9,111.4,
CPU_Average_Percent,755.0,73.1,
CPU_P_Cores_Avg_Percent,10.31,0.00,
CPU_E_Cores_Avg_Percent,0.22,0.00,
CPU_P_Cores_Workload_Pct,97.9,0.0,
CPU_E_Cores_Workload_Pct,2.1,0.0,
Memory_Peak_GB,8.00,1.97,
Cores_Used_Avg,7.6,0.7,
