Metric,ARM_M2_Pro,x86_RTX4090,Speedup
Latency_Min_s,5.84,1.37,
Latency_p25_s,9.33,2.05,
Latency_Median_s,10.41,2.36,4.41
Latency_p75_s,12.19,2.61,
Latency_p95_s,14.75,3.08,4.79
Latency_p99_s,16.33,3.42,4.78
Latency_Max_s,20.24,3.48,
Latency_Mean_s,10.92,2.35,4.64
Latency_StdDev_s,2.41,0.41,
CPU_Peak_Percent,858.6,111.2,
CPU_Average_Percent,752.9,76.8,
CPU_P_Cores_Avg_Percent,6.89,0.02,
CPU_E_Cores_Avg_Percent,0.31,0.02,
CPU_P_Cores_Workload_Pct,95.7,50.0,
CPU_E_Cores_Workload_Pct,4.3,50.0,
Memory_Peak_GB,8.09,2.00,
Cores_Used_Avg,7.5,0.8,
